Vendor,Invoice ID,Time,Order ID,ID,Earning(BDT),Total(BDT),Status,Mail,Website
Pa - Your Shoe,GOA001,1/14/2025 19:35:52,11486592,GO#1067,975,2235,Paid ,Mailed,Reduced
,,,11485202,GO#1063,1260,,,,
Hridoy Collection,GOA002,1/18/2025 10:07:39,11498424,GO#1135,665,665,Paid,Mailed,Reduced
Gallery of Colors,GOA003,1/19/2025 15:39:17,11471770,GO#1022,1287.75,28371.75,Paid,Mailed,Reduced
,,,11472683,GO#1024,1717.5,,,,
,,,11475100,GO#1026,1419.75,,,,
,,,11475617,GO#1036,1287.75,,,,
,,,11475781,GO#1037,1717.5,,,,
,,,11476629,GO#1041,1392.75,,,,
,,,11476634,GO#1042,1717.5,,,,
,,,11482206,GO#1053,1322.25,,,,
,,,11482363,GO#1055,1691.25,,,,
,,,11484647,GO#1058,1717.5,,,,
,,,11485961,GO#1065,1717.5,,,,
,,,11489046,GO#1073,1397.25,,,,
,,,11489518,GO#1076,1287.75,,,,
,,,11493702,GO#1096,1322.25,,,,
,,,11495082,GO#1110,1247.25,,,,
,,,11495438,GO#1112,1322.25,,,,
,,,11496133,GO#1118,1397.25,,,,
,,,11496903,GO#1124,1691.25,,,,
,,,11497239,GO#1125,1717.5,,,,
Zuqo,GOA004,1/23/2025 0:00:41,11490975,GO#1085,960,5680,Paid,Mailed,Reduced
,,,11491123,GO#1086,1200,,,,
,,,11498580,GO#1139,800,,,,
,,,11503954,GO#1173,960,,,,
,,,11508043,GO#1190,960,,,,
,,,11510130,GO#1200,800,,,,
Pa - Your Shoe,GOA005,1/22/2025 21:59:59,11514797,GO#1212,975,14287.5,Paid ,Mailed,Reduced
,,,11510044,GO#1199,975,,,,
,,,11509944,GO#1198,1387.5,,,,
,,,11509138,GO#1191,1162.5,,,,
,,,11506234,GO#1184,975,,,,
,,,11503707,GO#1169,1162.5,,,,
,,,11501290,GO#1154,1162.5,,,,
,,,11501008,GO#1152,1162.5,,,,
,,,11500571,GO#1151,1162.5,,,,
,,,11498665,GO#1140,975,,,,
,,,11496033,GO#1117,975,,,,
,,,11492466,GO#1090,1050,,,,
,,,11489665,GO#1078,1162.5,,,,
Tasnim Footware,GOA006,1/20/2025 19:16:36,11511758,GO#1205,2840,7885,Paid,Mailed,Reduced
,,,11504426,GO#1178,2840,,,,
,,,11482383,GO#1056,2205,,,,
Memart,GOA007,1/23/2025 16:10:45,11514145,GO#1209,599.25,599.25,Paid,Mailed,Reduced
Saraz Collection,GOA008,1/24/2025 0:35:07,11504230,GO#1176,5634.4,5634.4,Paid,Mailed,Reduced
Sultanentro,GOA009,1/25/2025 20:31:41,11481021,GO#1047,1869.75,33382.5,Paid ,Mailed,Reduced
,,,11484961,GO#1061,5667.75,,,,
,,,11490037,GO#1082,1719.75,,,,
,,,11490307,GO#1084,1869.75,,,,
,,,11494339,GO#1100,1914.75,,,,
,,,11494354,GO#1101,1869.75,,,,
,,,11494748,GO#1105,1572.75,,,,
,,,11495137,GO#1111,1922.25,,,,
,,,11495848,GO#1113,1869.75,,,,
,,,11497373,GO#1126,2132.25,,,,
,,,11497665,GO#1128,1572.75,,,,
,,,11498936,GO#1144,1914.75,,,,
,,,11498938,GO#1145,2132.25,,,,
,,,11500155,GO#1150,1914.75,,,,
,,,11503201,GO#1163,1719.75,,,,
,,,11509775,GO#1197,1719.75,,,,
Import Baby Dress,GOA010,1/27/2025 11:34:57,11529566,GO#1320,1724.25,14297.25,Paid,Mailed,Reduced
,,,11529460,GO#1319,941.25,,,,
,,,11529227,GO#1312,2250,,,,
,,,11528639,GO#1305,3266.25,,,,
,,,11528446,GO#1297,2253.75,,,,
,,,11526701,GO#1292,1087.5,,,,
,,,11525847,GO#1285,1087.5,,,,
,,,11525782,GO#1284,1087.5,,,,
,,,11523566,GO#1256,599.25,,,,
Inaya Outfits,GOA011,1/27/2025 13:52:04,11519579,GO#1237,8802.4,11374.4,Paid ,Mailed,Reduced
,,,11519579,GO#1237,2572,,,,
Super Noor Collection,GOA012,1/27/2025 21:28:30,11519578,GO#1237,3147.55,15050.1,Paid,Mailed,Reduced
,,,11519578,GO#1237,3147.55,,,,
,,,11519578,GO#1237,3825,,,,
,,,11519578,GO#1237,4930,,,,
Saraz Collection,GOA013,1/28/2025 0:50:42,11519577,GO#1237,3202.4,31124,Paid,Mailed,Reduced
,,,11519577,GO#1237,2149.6,,,,
,,,11519577,GO#1237,2650.4,,,,
,,,11519577,GO#1237,2954.4,,,,
,,,11519577,GO#1237,4802.4,,,,
,,,11519577,GO#1237,4802.4,,,,
,,,11519577,GO#1237,4170.4,,,,
,,,11519577,GO#1237,6392,,,,
Tasnim Footware,GOA014,1/30/2025 22:02:19,11515690,GO#1218,2840,13960,Paid,Mailed,Reduced
,,,11516919,GO#1223,3080,,,,
,,,11527208,GO#1293,2600,,,,
,,,11529393,GO#1317,2840,,,,
