,Vendor,Invoice ID,Order ID,ID,Earning(BDT),Total(BDT),Status,Mail,Website,Paid,Mailed,Reduced
0,Pa - Your Shoe,Reduced,11486592,GO#1067,975.0,2235.0,Paid ,Mailed,Reduced,Paid ,Mailed,Reduced
1,Pa - Your Shoe,Reduced,11485202,GO#1063,1260.0,,,,,Paid ,Mailed,Reduced
2,Hridoy Collection,Reduced,11498424,GO#1135,665.0,665.0,Paid,Mailed,Reduced,Paid,Mailed,Reduced
3,Gallery of Colors,Reduced,11471770,GO#1022,1287.75,28371.75,Paid,Mailed,Reduced,Paid,Mailed,Reduced
4,Gallery of Colors,Reduced,11472683,GO#1024,1717.5,,,,,Paid,Mailed,Reduced
5,Gallery of Colors,Reduced,11475100,GO#1026,1419.75,,,,,Paid,Mailed,Reduced
6,Gallery of Colors,Reduced,11475617,GO#1036,1287.75,,,,,Paid,Mailed,Reduced
7,Gallery of Colors,Reduced,11475781,GO#1037,1717.5,,,,,Paid,Mailed,Reduced
8,Gallery of Colors,Reduced,11476629,GO#1041,1392.75,,,,,Paid,Mailed,Reduced
9,Gallery of Colors,Reduced,11476634,GO#1042,1717.5,,,,,Paid,Mailed,Reduced
10,Gallery of Colors,Reduced,11482206,GO#1053,1322.25,,,,,Paid,Mailed,Reduced
11,Gallery of Colors,Reduced,11482363,GO#1055,1691.25,,,,,Paid,Mailed,Reduced
12,Gallery of Colors,Reduced,11484647,GO#1058,1717.5,,,,,Paid,Mailed,Reduced
13,Gallery of Colors,Reduced,11485961,GO#1065,1717.5,,,,,Paid,Mailed,Reduced
14,Gallery of Colors,Reduced,11489046,GO#1073,1397.25,,,,,Paid,Mailed,Reduced
15,Gallery of Colors,Reduced,11489518,GO#1076,1287.75,,,,,Paid,Mailed,Reduced
16,Gallery of Colors,Reduced,11493702,GO#1096,1322.25,,,,,Paid,Mailed,Reduced
17,Gallery of Colors,Reduced,11495082,GO#1110,1247.25,,,,,Paid,Mailed,Reduced
18,Gallery of Colors,Reduced,11495438,GO#1112,1322.25,,,,,Paid,Mailed,Reduced
19,Gallery of Colors,Reduced,11496133,GO#1118,1397.25,,,,,Paid,Mailed,Reduced
20,Gallery of Colors,Reduced,11496903,GO#1124,1691.25,,,,,Paid,Mailed,Reduced
21,Gallery of Colors,Reduced,11497239,GO#1125,1717.5,,,,,Paid,Mailed,Reduced
22,Zuqo,Reduced,11490975,GO#1085,960.0,5680.0,Paid,Mailed,Reduced,Paid,Mailed,Reduced
23,Zuqo,Reduced,11491123,GO#1086,1200.0,,,,,Paid,Mailed,Reduced
24,Zuqo,Reduced,11498580,GO#1139,800.0,,,,,Paid,Mailed,Reduced
25,Zuqo,Reduced,11503954,GO#1173,960.0,,,,,Paid,Mailed,Reduced
26,Zuqo,Reduced,11508043,GO#1190,960.0,,,,,Paid,Mailed,Reduced
27,Zuqo,Reduced,11510130,GO#1200,800.0,,,,,Paid,Mailed,Reduced
28,Pa - Your Shoe,Reduced,11514797,GO#1212,975.0,14287.5,Paid ,Mailed,Reduced,Paid ,Mailed,Reduced
29,Pa - Your Shoe,Reduced,11510044,GO#1199,975.0,,,,,Paid ,Mailed,Reduced
30,Pa - Your Shoe,Reduced,11509944,GO#1198,1387.5,,,,,Paid ,Mailed,Reduced
31,Pa - Your Shoe,Reduced,11509138,GO#1191,1162.5,,,,,Paid ,Mailed,Reduced
32,Pa - Your Shoe,Reduced,11506234,GO#1184,975.0,,,,,Paid ,Mailed,Reduced
33,Pa - Your Shoe,Reduced,11503707,GO#1169,1162.5,,,,,Paid ,Mailed,Reduced
34,Pa - Your Shoe,Reduced,11501290,GO#1154,1162.5,,,,,Paid ,Mailed,Reduced
35,Pa - Your Shoe,Reduced,11501008,GO#1152,1162.5,,,,,Paid ,Mailed,Reduced
36,Pa - Your Shoe,Reduced,11500571,GO#1151,1162.5,,,,,Paid ,Mailed,Reduced
37,Pa - Your Shoe,Reduced,11498665,GO#1140,975.0,,,,,Paid ,Mailed,Reduced
38,Pa - Your Shoe,Reduced,11496033,GO#1117,975.0,,,,,Paid ,Mailed,Reduced
39,Pa - Your Shoe,Reduced,11492466,GO#1090,1050.0,,,,,Paid ,Mailed,Reduced
40,Pa - Your Shoe,Reduced,11489665,GO#1078,1162.5,,,,,Paid ,Mailed,Reduced
41,Tasnim Footware,Reduced,11511758,GO#1205,2840.0,7885.0,Paid,Mailed,Reduced,Paid,Mailed,Reduced
42,Tasnim Footware,Reduced,11504426,GO#1178,2840.0,,,,,Paid,Mailed,Reduced
43,Tasnim Footware,Reduced,11482383,GO#1056,2205.0,,,,,Paid,Mailed,Reduced
44,Memart,Reduced,11514145,GO#1209,599.25,599.25,Paid,Mailed,Reduced,Paid,Mailed,Reduced
45,Saraz Collection,Reduced,11504230,GO#1176,5634.4,5634.4,Paid,Mailed,Reduced,Paid,Mailed,Reduced
46,Sultanentro,Reduced,11481021,GO#1047,1869.75,33382.5,Paid ,Mailed,Reduced,Paid ,Mailed,Reduced
47,Sultanentro,Reduced,11484961,GO#1061,5667.75,,,,,Paid ,Mailed,Reduced
48,Sultanentro,Reduced,11490037,GO#1082,1719.75,,,,,Paid ,Mailed,Reduced
49,Sultanentro,Reduced,11490307,GO#1084,1869.75,,,,,Paid ,Mailed,Reduced
50,Sultanentro,Reduced,11494339,GO#1100,1914.75,,,,,Paid ,Mailed,Reduced
51,Sultanentro,Reduced,11494354,GO#1101,1869.75,,,,,Paid ,Mailed,Reduced
52,Sultanentro,Reduced,11494748,GO#1105,1572.75,,,,,Paid ,Mailed,Reduced
53,Sultanentro,Reduced,11495137,GO#1111,1922.25,,,,,Paid ,Mailed,Reduced
54,Sultanentro,Reduced,11495848,GO#1113,1869.75,,,,,Paid ,Mailed,Reduced
55,Sultanentro,Reduced,11497373,GO#1126,2132.25,,,,,Paid ,Mailed,Reduced
56,Sultanentro,Reduced,11497665,GO#1128,1572.75,,,,,Paid ,Mailed,Reduced
57,Sultanentro,Reduced,11498936,GO#1144,1914.75,,,,,Paid ,Mailed,Reduced
58,Sultanentro,Reduced,11498938,GO#1145,2132.25,,,,,Paid ,Mailed,Reduced
59,Sultanentro,Reduced,11500155,GO#1150,1914.75,,,,,Paid ,Mailed,Reduced
60,Sultanentro,Reduced,11503201,GO#1163,1719.75,,,,,Paid ,Mailed,Reduced
61,Sultanentro,Reduced,11509775,GO#1197,1719.75,,,,,Paid ,Mailed,Reduced
62,Import Baby Dress,Reduced,11529566,GO#1320,1724.25,14297.25,Paid,Mailed,Reduced,Paid,Mailed,Reduced
63,Import Baby Dress,Reduced,11529460,GO#1319,941.25,,,,,Paid,Mailed,Reduced
64,Import Baby Dress,Reduced,11529227,GO#1312,2250.0,,,,,Paid,Mailed,Reduced
65,Import Baby Dress,Reduced,11528639,GO#1305,3266.25,,,,,Paid,Mailed,Reduced
66,Import Baby Dress,Reduced,11528446,GO#1297,2253.75,,,,,Paid,Mailed,Reduced
67,Import Baby Dress,Reduced,11526701,GO#1292,1087.5,,,,,Paid,Mailed,Reduced
68,Import Baby Dress,Reduced,11525847,GO#1285,1087.5,,,,,Paid,Mailed,Reduced
69,Import Baby Dress,Reduced,11525782,GO#1284,1087.5,,,,,Paid,Mailed,Reduced
70,Import Baby Dress,Reduced,11523566,GO#1256,599.25,,,,,Paid,Mailed,Reduced
71,Inaya Outfits,Reduced,11519579,GO#1237,8802.4,11374.4,Paid ,Mailed,Reduced,Paid ,Mailed,Reduced
72,Inaya Outfits,Reduced,11519579,GO#1237,2572.0,,,,,Paid ,Mailed,Reduced
73,Super Noor Collection,Reduced,11519578,GO#1237,3147.55,15050.1,Paid,Mailed,Reduced,Paid,Mailed,Reduced
74,Super Noor Collection,Reduced,11519578,GO#1237,3147.55,,,,,Paid,Mailed,Reduced
75,Super Noor Collection,Reduced,11519578,GO#1237,3825.0,,,,,Paid,Mailed,Reduced
76,Super Noor Collection,Reduced,11519578,GO#1237,4930.0,,,,,Paid,Mailed,Reduced
